20220322,000000,1.1015300,1.1017000,1.1013800,1.1013800,64
20220322,000100,1.1013700,1.1016000,1.1013600,1.1015300,106
20220322,000200,1.1015300,1.1016100,1.1013800,1.1014000,663
20220322,000300,1.1015000,1.1016000,1.1013700,1.1015000,46
20220322,000400,1.1016000,1.1017000,1.1013900,1.1014300,15
20220322,000500,1.1013500,1.1016000,1.1013300,1.1014400,128
20220322,000600,1.1014600,1.1016100,1.1013300,1.1015800,225
20220322,000700,1.1014600,1.1016000,1.1013700,1.1015700,78
20220322,000800,1.1014600,1.1016000,1.1013300,1.1015400,140
20220322,000900,1.1015400,1.1016000,1.1013300,1.1013300,99
20220322,001000,1.1015400,1.1016000,1.1013300,1.1014600,145
20220322,001100,1.1015400,1.1016000,1.1013300,1.1013300,127
20220322,001200,1.1014600,1.1016000,1.1013300,1.1014700,83
20220322,001300,1.1015400,1.1016000,1.1013300,1.1015400,117
20220322,001400,1.1015400,1.1016600,1.1012800,1.1015300,225
20220322,001500,1.1015200,1.1016000,1.1013400,1.1014500,208
20220322,001600,1.1014500,1.1016000,1.1013400,1.1015300,161
20220322,001700,1.1015200,1.1016000,1.1012800,1.1014500,131
20220322,001800,1.1014500,1.1016000,1.1012800,1.1015400,73
20220322,001900,1.1014600,1.1016000,1.1012800,1.1014600,93
20220322,002000,1.1015400,1.1016000,1.1012800,1.1012800,81
20220322,002100,1.1015400,1.1016000,1.1012800,1.1014600,94
20220322,002200,1.1015400,1.1016000,1.1012800,1.1012800,162
20220322,002300,1.1014600,1.1016000,1.1012800,1.1015100,115
20220322,002400,1.1015400,1.1016000,1.1012800,1.1014300,98
20220322,002500,1.1012800,1.1016000,1.1012800,1.1012800,129
20220322,002600,1.1012800,1.1016000,1.1012800,1.1014800,103
20220322,002700,1.1015600,1.1016000,1.1012800,1.1012800,119
20220322,002800,1.1012800,1.1016000,1.1012800,1.1012800,102
20220322,002900,1.1015600,1.1016000,1.1012800,1.1014800,96
20220322,003000,1.1015600,1.1016000,1.1012800,1.1014600,127
20220322,003100,1.1015400,1.1016000,1.1013100,1.1015400,146
20220322,003200,1.1015400,1.1016000,1.1013400,1.1014700,177
20220322,003300,1.1015500,1.1016000,1.1013100,1.1013800,132
20220322,003400,1.1015400,1.1016000,1.1013100,1.1013800,109
20220322,003500,1.1014900,1.1016000,1.1013200,1.1014700,190
20220322,003600,1.1015000,1.1016000,1.1013900,1.1015500,309
20220322,003700,1.1014700,1.1016800,1.1013900,1.1014600,791
20220322,003800,1.1016200,1.1016200,1.1014300,1.1015700,187
20220322,003900,1.1016000,1.1016200,1.1014500,1.1014700,193
20220322,004000,1.1016200,1.1016200,1.1014700,1.1015300,153
20220322,004100,1.1016000,1.1016500,1.1014700,1.1014700,161
20220322,004200,1.1016300,1.1016600,1.1014700,1.1015700,142
20220322,004300,1.1015700,1.1017000,1.1014800,1.1015900,181
20220322,004400,1.1016000,1.1017400,1.1015300,1.1015300,161
20220322,004500,1.1016500,1.1017000,1.1015300,1.1015700,143
20220322,004600,1.1016500,1.1017000,1.1015300,1.1016900,124
20220322,004700,1.1016500,1.1018000,1.1014900,1.1017000,794
20220322,004800,1.1017000,1.1017200,1.1015400,1.1016000,209
20220322,004900,1.1015900,1.1017200,1.1014500,1.1015900,141
20220322,005000,1.1016900,1.1017400,1.1014900,1.1015800,151
20220322,005100,1.1017200,1.1017500,1.1014900,1.1017200,148
20220322,005200,1.1016300,1.1017600,1.1015700,1.1017000,125
20220322,005300,1.1017000,1.1018000,1.1015800,1.1018000,180
20220322,005400,1.1017800,1.1018000,1.1016300,1.1017900,147
20220322,005500,1.1018000,1.1018100,1.1016600,1.1018000,133
20220322,005600,1.1017800,1.1018200,1.1016800,1.1018000,117
20220322,005700,1.1018100,1.1018300,1.1017100,1.1018100,98
20220322,005800,1.1018000,1.1019000,1.1016700,1.1018500,219
20220322,005900,1.1017000,1.1018500,1.1017000,1.1018000,138
20220322,010000,1.1017600,1.1019000,1.1015400,1.1017500,593
20220322,010100,1.1017500,1.1018400,1.1015600,1.1017100,334
20220322,010200,1.1017100,1.1019000,1.1017000,1.1018400,177
20220322,010300,1.1017800,1.1019200,1.1017000,1.1018900,204
20220322,010400,1.1018900,1.1019200,1.1017000,1.1017900,301
20220322,010500,1.1018100,1.1019000,1.1016000,1.1018000,249
20220322,010600,1.1018200,1.1019000,1.1017000,1.1019000,125
20220322,010700,1.1018300,1.1019000,1.1016000,1.1017900,129
20220322,010800,1.1017500,1.1018500,1.1016000,1.1017700,100
20220322,010900,1.1018200,1.1018500,1.1016000,1.1017000,161
20220322,011000,1.1018100,1.1019300,1.1017000,1.1018600,197
20220322,011100,1.1019000,1.1019400,1.1017000,1.1018700,149
20220322,011200,1.1018200,1.1019000,1.1016000,1.1017000,400
20220322,011300,1.1018400,1.1021000,1.1017000,1.1020600,560
20220322,011400,1.1020600,1.1022000,1.1019000,1.1020500,403
20220322,011500,1.1021300,1.1022600,1.1020000,1.1021200,458
20220322,011600,1.1021200,1.1023700,1.1020700,1.1023300,475
20220322,011700,1.1023000,1.1024400,1.1022400,1.1024100,498
20220322,011800,1.1023400,1.1025300,1.1023000,1.1024000,349
20220322,011900,1.1025000,1.1025800,1.1023000,1.1023000,566
20220322,012000,1.1023000,1.1025200,1.1022000,1.1024000,336
20220322,012100,1.1024300,1.1025400,1.1023000,1.1024700,404
20220322,012200,1.1025000,1.1025000,1.1022000,1.1024500,387
20220322,012300,1.1024200,1.1025000,1.1023000,1.1025000,200
